жизнь (f), das Leben
мама, die Mama
декрет, der Mutterschutz / die Elternzeit
мужчина, der Mann
женщина, die Frau
дети (Pl.), die Kinder
ребёнок, das Kind
дом, das Haus / das Zuhause
жена, die Ehefrau
ужин, der Abendessen
день (m), der Tag
работа, die Arbeit
выходные (Pl.), die freien Tage / das Wochenende
спорт, der Sport
квартира, die Wohnung
подруга, die Freundin
телефон, das Telefon
книга, das Buch
план, der Plan
результат, das Ergebnis
контракт, der Vertrag
командировка, die Dienstreise
встреча, das Treffen / die Besprechung
час, die Stunde
беспорядок, die Unordnung
комфорт, der Komfort
нуль (m), die Null
мотивация, die Motivation
дела (Pl.), die Angelegenheiten / die Aufgaben
рабочий день, der Arbeitstag
домашние дела, die Hausarbeit / die Haushaltsaufgaben
психологический комфорт, das psychologische Wohlbefinden
думать, denken
сидеть дома, zu Hause sitzen / zu Hause bleiben
отдыхать, sich ausruhen / sich erholen
ожидать, erwarten
приходить, kommen / nach Hause kommen
ждать, warten
работать, arbeiten
заканчиваться, enden / aufhören
идти, gehen
контролировать, kontrollieren
спать, schlafen
планировать, planen
заниматься спортом, Sport treiben
убирать квартиру, die Wohnung aufräumen / putzen
говорить по телефону, telefonieren
читать, lesen
рухнуть, zusammenbrechen / platzen (Pläne)
видеть, sehen
терять, verlieren
делать, machen / tun
многие, viele
счастливая, glücklich
весёлая, fröhlich
трудная, schwer / schwierig
новый, neu
интересная, interessant
продуктивная, produktiv
каждый, jeder
опять, wieder / schon wieder
всё равно, trotzdem / dennoch
обычно, gewöhnlich / normalerweise
конечно, natürlich
весь день, den ganzen Tag
без выходных, ohne freie Tage / ohne Pause
сидеть в декрете, im Mutterschutz sein / in Elternzeit sein
если женщина сидит дома с детьми, wenn die Frau zu Hause mit den Kindern ist
если ... то это значит, wenn ... dann bedeutet das
когда он приходит с работы домой, wenn er von der Arbeit nach Hause kommt
ждать с ужином, mit dem Abendessen auf jemanden warten
работать без выходных, ohne freie Tage arbeiten
а что если ...?, und was ist, wenn ...?
её планы рухнули, ihre Pläne sind geplatzt
она должна быть с ребёнком, sie muss beim Kind sein
через час, nach einer Stunde
на нуле, bei null / am Nullpunkt
на работе, auf der Arbeit / bei der Arbeit
ничего нельзя контролировать, man kann nichts kontrollieren
нет результата, es gibt kein Ergebnis
говорить с подругами по телефону, mit Freundinnen telefonieren
всё равно должна, muss trotzdem
