Russisch;Deutsch;Grammatik;Formen;Quelle
работать;arbeiten;unvollendeter Aspekt;работает, работает;Frauen im Mutterschutz.txt
начинает;beginnt;НСВ, 3л. ед.ч.;;AI: МОЯ ФИРМА
мама;Mama;weibl. Subst.;мама;Frauen im Mutterschutz.txt
на стадио́н;ins Stadion;;;Russisch_5_1_Vokabeln_Quizlet.txt
дли́нный;lang;;;Antonyme.txt
Анна;Anna;weibl. Eigenname;;МОЯ ФИРМА.txt
а вот;und hier ist;feste Wendung;;Frank und seine Hobbies.txt
красиво;schön;Adv./Prädikatsnomen;;Das laute Büro.txt
на нуле;bei null;Präpositionalphrase;;Frauen im Mutterschutz.txt
шумно;laut, lärmend;Adv./Prädikatsnomen;;Das laute Büro.txt
Во сколько вы встаёте?;Um wie viel Uhr stehen Sie auf?;;;workbook_p_100.txt
весь день;den ganzen Tag;Zeitangabe;весь день;Frauen im Mutterschutz.txt
электроплитка;Elektroherd;weibl.;;МОЯ ФИРМА.txt
встава́ть по́здно;spät aufstehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
час;"Stunde (1; 21; 31...)";;;Russisch_5_1_Vokabeln_Quizlet.txt
обед;Mittagessen;männl.;;МОЯ ФИРМА.txt
у;bei, haben (mit Genitiv);Präp. + Gen.;;Das laute Büro.txt
картина;Bild, Gemälde;Subst., weibl., Nom. Pl.;;Das laute Büro.txt
в магази́н;in den Laden;;;Russisch_5_1_Vokabeln_Quizlet.txt
английский язык;englische Sprache;feste Wortverbindung;;AI: МОЯ ФИРМА
мину́ты;"Minuten (2; 3; 4)";;;Russisch_5_1_Vokabeln_Quizlet.txt
всегда;immer;Adverb;всегда;Frauen im Mutterschutz.txt
куда́?;wohin?;;;Russisch_5_1_Vokabeln_Quizlet.txt
заниматься спортом;Sport treiben;;;workbook_p_100.txt
смотреть телевизор;fernsehen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
мину́т;Minuten (5-20);;;Russisch_5_1_Vokabeln_Quizlet.txt
менеджер;Manager;männl.;;МОЯ ФИРМА.txt
почти;fast;Adverb;;МОЯ ФИРМА.txt
с детьми;mit den Kindern;Präpositionalphrase;;Frauen im Mutterschutz.txt
в музе́й;ins Museum;;;Russisch_5_1_Vokabeln_Quizlet.txt
после работы;nach der Arbeit;;;workbook_p_100.txt
очередь;die Schlange / die Warteschlange;;;workbook_p_100.txt
как;wie;Adv./Fragepron.;;Das laute Büro.txt
карандаш;Bleistift;Subst., männl., Nom. Pl.;;Das laute Büro.txt
заканчиваться;enden / aufhören;;;workbook_p_100.txt
вставать (встаёт);aufstehen / aufgehen (Sonne);;;workbook_p_100.txt
идти в школу;in die Schule gehen;в + Akkusativ - Richtung: wohin?;;Vokabeln Homework 06-02-26.txt
выходные (Pl.);die freien Tage / das Wochenende;;;Vokabelliste_Mutterschutz.txt
покупа́ть проду́кты;Lebensmittel einkaufen;;;Russisch_5_1_Vokabeln_Quizlet.txt
все;alle;Pronomen, Dativ Plural;;Frank und seine Hobbies.txt
сайт;Website;männl.;;МОЯ ФИРМА.txt
дома;zu Hause, nach Hause;Adverb;дома, домой;Frauen im Mutterschutz.txt
если;wenn, falls;Konjunktion;;Frauen im Mutterschutz.txt
коллега;Kollege, Kollegin;Subst., männl./weibl., Nom. Pl.;;Das laute Büro.txt
в оте́ль;ins Hotel;;;Russisch_5_1_Vokabeln_Quizlet.txt
тёмный;dunkel;;;Antonyme.txt
командировка;Dienstreise;weibl. Subst.;командировка;Frauen im Mutterschutz.txt
калькулятор;Taschenrechner;männl.;;МОЯ ФИРМА.txt
в центр;ins Zentrum;;;Russisch_5_1_Vokabeln_Quizlet.txt
в го́ры;in die Berge;;;Russisch_5_1_Vokabeln_Quizlet.txt
В воскресенье в четырнадцать часов я иду в музей.;Am Sonntag um vierzehn Uhr gehe ich ins Museum.;;;Vokabeln Homework 06-02-26.txt
говорить;sprechen;unvollendeter Aspekt;говорить, говорить;Frauen im Mutterschutz.txt
в выходны́е;am Wochenende;;;Russisch_5_1_Vokabeln_Quizlet.txt
выходные;Wochenende;Pl.;;Frauen im Mutterschutz.txt
каждый;jeder;Pronomen;каждый;Frauen im Mutterschutz.txt
идея;Idee;weibl.;;МОЯ ФИРМА.txt
почти;fast, beinahe;Adverb;;AI: МОЯ ФИРМА
её;sie (Akk.), ihr;Personalpronomen, 3. Pers. Sg. weibl., Akk./Gen.;;МОЯ ФИРМА.txt
ждать с ужином;mit dem Abendessen auf jemanden warten;;;Vokabelliste_Mutterschutz.txt
Дмитрий;Dmitri;männl. Eigenname;;МОЯ ФИРМА.txt
в декрете;in Elternzeit / Mutterschaftsurlaub;Präposition + Präpositiv - Zustand;;Vokabeln Homework 06-02-26.txt
когда;wenn, als;Konjunktion;;Frauen im Mutterschutz.txt
клуб;der Club / Verein;;;workbook_p_100.txt
длиться;dauern;;;Vokabeln Homework 06-02-26.txt
Вре́мя идёт.;Die Zeit vergeht.;;;Russisch_5_1_Vokabeln_Quizlet.txt
приходить;kommen;unvollendeter Aspekt;приходит;Frauen im Mutterschutz.txt
если ... то это значит;wenn ... dann bedeutet das;;;Vokabelliste_Mutterschutz.txt
супермаркет;der Supermarkt;;;workbook_p_100.txt
ручка;Stift, Kuli;Subst., weibl., Nom. Pl.;;Das laute Büro.txt
